,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Congo,0,0,0,0,0,0,0,5,0,0,1,1,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
South Korea,0,0,30,19,10,57,21,0,0,1,14,19,18,4,39,42,17,0,12,23,37,25,19,4,9,4,29,38,0,0,0,0,4
Costa Rica,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0
Croatia,0,0,0,23,32,29,43,23,58,18,17,9,9,20,39,51,47,85,37,12,12,63,15,21,21,110,19,16,5,0,3,1,9
Cuba,0,0,0,2,7,1,0,0,0,5,0,1,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,42,99,58,18,69,74,28,58,23,16,23,50,233,266,20,100,15,54,26,20,28,86,256,207,88,68,21,66,14,29,99
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Ecuador,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,2,0,0
Egypt,0,0,10,11,4,19,7,23,20,7,5,26,10,15,10,7,0,0,19,0,6,1,0,3,2,2,14,6,0,0,0,35,0
Switzerland,0,0,22,36,15,26,23,15,45,36,25,357,80,111,135,99,22,291,108,78,92,240,45,191,138,147,186,216,5,33,9,253,589
United Arab Emirates,0,19,0,14,2,0,1,1,13,13,4,5,6,4,2,5,2,0,2,6,1,4,22,18,6,0,2,6,2,1,0,5,28
Estonia,44,127,6,28,37,32,69,20,34,53,27,75,27,71,15,85,40,42,70,76,58,136,91,105,26,121,178,79,4,4,12,15,95
Ethiopia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Philippines,0,0,4,1,0,1,0,0,0,3,0,0,0,1,3,0,0,0,1,1,0,0,1,3,2,0,0,68,0,0,2,0,0
Finland,0,0,19,82,25,12,32,39,39,31,32,17,26,28,25,35,56,84,66,128,49,92,76,143,203,372,451,277,0,18,41,10,33
France,0,22,83,102,190,203,306,217,203,304,179,305,319,464,266,436,174,196,283,248,155,364,190,293,290,366,225,232,14,54,1361,1425,541
